"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"1","Ahmadnagar","Maharashtra","GANDHI DILIPKUMAR MANSUKHLAL","M","GEN",59,"BJP",312047,1,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"2","Ahmadnagar","Maharashtra","KARDILE SHIVAJI BHANUDAS","M","GEN",50,"NCP",265316,2,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"3","Ahmadnagar","Maharashtra","RAJEEV APPASAHEB RAJALE","M","GEN",39,"IND",152795,3,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"4","Ahmadnagar","Maharashtra","KARBHARI WAMAN  ALIAS K.V. SHIRSAT","M","GEN",65,"CPI",11853,4,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"5","Ahmadnagar","Maharashtra","GADAKH TUKARAM GANGADHAR","M","GEN",55,"BSP",11508,5,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"6","Ahmadnagar","Maharashtra","PROF. MAHENDRA DADA SHINDE","M","GEN",29,"IND",6800,6,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"7","Ahmadnagar","Maharashtra","KHAIRE ARJUN DEORAO","M","GEN",39,"IND",4353,7,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"8","Ahmadnagar","Maharashtra","RAUT EKNATH BABASAHEB","M","SC",56,"IND",4118,8,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"9","Ahmadnagar","Maharashtra","KAZI SAJID MUJIR","M","GEN",41,"RPIE",4099,9,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"10","Ahmadnagar","Maharashtra","NAUSHAD ANSAR SHAIKH","F","SC",39,"IND",3796,10,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"11","Ahmadnagar","Maharashtra","HAKE BHANUDAS KISAN","M","GEN",55,"RSPS",3329,11,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"12","Ahmadnagar","Maharashtra","AVINASH MALHARRAO GHODAKE","M","GEN",40,"IND",2408,12,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"13","Ahmadnagar","Maharashtra","GAIKWAD BALASAHEB RAMCHANDRA","M","SC",35,"IND",1717,13,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"14","Ahmadnagar","Maharashtra","HOLE BHANUDAS NAMDEO","M","GEN",48,"BBM",1694,14,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"15","Ahmadnagar","Maharashtra","ARUN  KAHAR","M","GEN",45,"IND",1147,15,787330,1517951,15,51.86794567,4543159,4107143,320743,"939","79.05%","NCP"
"16","Akola","Maharashtra","DHOTRE SANJAY SHAMRAO","M","GEN",50,"BJP",287526,1,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"17","Akola","Maharashtra","AMBEDKAR PRAKASH YASHWANT","M","GEN",56,"BBM",222678,2,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"18","Akola","Maharashtra","BABASAHEB DHABEKAR","M","GEN",78,"INC",182776,3,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"19","Akola","Maharashtra","MUJAHID KHAN CHAND KHAN","M","GEN",42,"IND",22666,4,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"20","Akola","Maharashtra","WASUDEORAO KHADE GURUJI","M","GEN",68,"IND",8266,5,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"21","Akola","Maharashtra","ATIK AHAMAD GU. JILANI","M","GEN",34,"DESEP",4345,6,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"22","Akola","Maharashtra","GANESH TULSHIRAM TATHE","M","GEN",49,"KKJHS",3059,7,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"23","Akola","Maharashtra","RAUT DEVIDAS ANANDRAO","M","GEN",45,"IND",2810,8,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"24","Akola","Maharashtra","THAKURDAS GOVIND CHOUDHARI","M","GEN",39,"IND",1994,9,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"25","Akola","Maharashtra","AJABRAO UTTAMRAO BHONGADE","M","SC",36,"IND",1430,10,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"26","Akola","Maharashtra","DIPAK SHRIRAM TIRAKE","M","GEN",33,"RSPS",1405,11,739255,1480606,11,49.92921817,1813906,1107809,357253,"946","88.05%","BJP"
"27","Amravati","Maharashtra","ADSUL ANANDRAO VITHOBA","M","SC",61,"SHS",314286,1,732574,1423855,22,51.45004231,2888445,2055177,421410,"951","87.38%","SHS"
"28","Amravati","Maharashtra","GAWAI RAJENDRA RAMKRUSHNA","M","SC",46,"RPI",252570,2,732574,1423855,22,51.45004231,2888445,2055177,421410,"951","87.38%","SHS"
"29","Amravati","Maharashtra","DR. RAJIV GULABRAO  JAMTHE","M","SC",53,"IND",64438,3,732574,1423855,22,51.45004231,2888445,2055177,421410,"951","87.38%","SHS"
"30","Amravati","Maharashtra","GANGADHAR GADE","M","SC",62,"BSP",41775,4,732574,1423855,22,51.45004231,2888445,2055177,421410,"951","87.38%","SHS"
