,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex Ratio (per 1000),Average Literacy,INCUMBENT_PARTY,Incumbency
1,BALAGHAT,Madhya Pradesh,K. D. DESHMUKH,M,GEN,60,BJP,299959,1,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,1
2,BALAGHAT,Madhya Pradesh,VISHVESHWAR BHAGAT,M,GEN,57,INC,259140,2,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
3,BALAGHAT,Madhya Pradesh,KANKAR MUNJARE,M,GEN,52,RJD,48800,3,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
4,BALAGHAT,Madhya Pradesh,AJAB LAL,M,GEN,35,BSP,35203,4,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
5,BALAGHAT,Madhya Pradesh,KISHOR SAMRITE,M,GEN,42,SP,29525,5,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
6,BALAGHAT,Madhya Pradesh,BHAIYA BALKRISHNA,M,GEN,53,GGP,20645,6,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
7,BALAGHAT,Madhya Pradesh,MANSINGH BISEN,M,GEN,59,IND,13195,7,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
8,BALAGHAT,Madhya Pradesh,DARBU SINGH UIKEY,M,ST,37,GMS,10810,8,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
9,BALAGHAT,Madhya Pradesh,DHANESHWAR LILHARE,M,GEN,40,IND,5767,9,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
10,BALAGHAT,Madhya Pradesh,JITENDRA MESHRAM,M,SC,37,IND,5339,10,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
11,BALAGHAT,Madhya Pradesh,KALPANA GOPAL WASNIK,F,SC,38,RPI(A),5005,11,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
12,BALAGHAT,Madhya Pradesh,NYAZMIR KHAN,M,GEN,32,IND,4408,12,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
13,BALAGHAT,Madhya Pradesh,POORANLAL LODHI,M,GEN,37,IND,4395,13,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
14,BALAGHAT,Madhya Pradesh,GOVARDHAN PATLE URF HITLAR,M,SC,75,IND,4034,14,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
15,BALAGHAT,Madhya Pradesh,SHRIRAM THAKUR,M,GEN,58,IND,3417,15,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,77.09%,BJP,0
