"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"1","Arakkonam","Tamil Nadu","JAGATHRAKSHAKAN","M","GEN",61,"DMK",415041,1,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"2","Arakkonam","Tamil Nadu","VELU R","M","GEN",68,"PMK",305245,2,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"3","Arakkonam","Tamil Nadu","SANKAR S","M","GEN",40,"DMDK",82038,3,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"4","Arakkonam","Tamil Nadu","PANJATSARAM D","M","SC",54,"IND",7078,4,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"5","Arakkonam","Tamil Nadu","MARY JOHN","M","GEN",61,"BSP",6641,5,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"6","Arakkonam","Tamil Nadu","PALANI W B","M","GEN",40,"PNK",6026,6,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"7","Arakkonam","Tamil Nadu","ANNAMALAI S C","M","GEN",53,"AIVP",4305,7,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"8","Arakkonam","Tamil Nadu","MUTHIYALU M","M","GEN",54,"IND",4084,8,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"9","Arakkonam","Tamil Nadu","JANAKIRAMAN  J","M","GEN",31,"IND",4032,9,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"10","Arakkonam","Tamil Nadu","JAGADEESWARAN J","M","GEN",30,"IND",3788,10,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
"11","Arakkonam","Tamil Nadu","ISAAC JEBA KUMAR S","M","GEN",43,"AIJMK",2799,11,855122,1098607,20,77.8369335,3936331,3397857,414760,"1007","79.17%","PMK"
