"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"1","Agra","Uttar Pradesh","DR. RAMSHANKAR","M","SC",43,"BJP",203697,1,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"2","Agra","Uttar Pradesh","KUNWAR CHAND (VAKIL)","M","SC",51,"BSP",193982,2,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"3","Agra","Uttar Pradesh","RAMJI LAL SUMAN","M","SC",57,"SP",141367,3,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"4","Agra","Uttar Pradesh","PRABHUDAYAL KATHERIA","M","SC",57,"INC",93373,4,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"5","Agra","Uttar Pradesh","SANTOSH KUMAR DIWAKAR","M","SC",27,"IND",4571,5,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"6","Agra","Uttar Pradesh","GANESHI LAL MAHAUR","M","SC",43,"IND",1560,6,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"7","Agra","Uttar Pradesh","VINOD KUMAR SINGH","M","SC",47,"IND",1454,7,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"8","Agra","Uttar Pradesh","VIVEK CHAUHAN VALMIKI","M","SC",35,"RSMD",1236,8,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"9","Agra","Uttar Pradesh","RAKESH","M","SC",40,"IND",1215,9,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"10","Agra","Uttar Pradesh","DR. CHANDRAPAL","M","SC",61,"IND",1093,10,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"11","Agra","Uttar Pradesh","RAMESH","M","SC",30,"JBSP",1070,11,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"12","Agra","Uttar Pradesh","BOBY","M","SC",36,"IND",934,12,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"13","Agra","Uttar Pradesh","NITYANAND","M","SC",55,"IND",579,13,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"14","Agra","Uttar Pradesh","RAM DEVI","F","SC",46,"HDVP",532,14,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"15","Agra","Uttar Pradesh","RAJESH KUMAR PRADHAN","M","SC",33,"RSBP",427,15,647123,1539683,15,42.02962558,4418797,3922718,411313,"868","71.58%","SP"
"16","Akbarpur","Uttar Pradesh","RAJARAM PAL","M","GEN",48,"INC",192549,1,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"17","Akbarpur","Uttar Pradesh","ANIL SHUKLA WARSI","M","GEN",52,"BSP",160506,2,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"18","Akbarpur","Uttar Pradesh","ARUN KUMAR TIWARI BABA","M","GEN",47,"BJP",136907,3,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"19","Akbarpur","Uttar Pradesh","KAMLESH KUMAR PATHAK","M","GEN",53,"SP",114820,4,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"20","Akbarpur","Uttar Pradesh","RAM NATH VERMA","M","SC",62,"IND",7243,5,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"21","Akbarpur","Uttar Pradesh","VIRENDRA VISHWAKARMA","M","GEN",40,"IND",6613,6,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"22","Akbarpur","Uttar Pradesh","AMAR SINGH CHAUHAN","M","GEN",51,"JPS",5468,7,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"23","Akbarpur","Uttar Pradesh","DR.A.K. GUPTA","M","GEN",58,"RSMD",2627,8,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"24","Akbarpur","Uttar Pradesh","MANJESH KUMAR","M","GEN",37,"IND",1642,9,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"25","Akbarpur","Uttar Pradesh","SATENDRA KUSHWAHA","M","GEN",53,"RKSP",1580,10,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"26","Akbarpur","Uttar Pradesh","VIMAL SINGH BHADAURIA","M","GEN",27,"ABAS",1494,11,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"27","Akbarpur","Uttar Pradesh","DHARMENDRA PRATAP SINGH","M","SC",34,"BPD",1461,12,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"28","Akbarpur","Uttar Pradesh","OMKAR","M","GEN",46,"IND",1355,13,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"29","Akbarpur","Uttar Pradesh","RAM GOPAL","M","SC",51,"RAJUP",1051,14,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"30","Akbarpur","Uttar Pradesh","DAYA SHANKER","M","GEN",70,"RSP",720,15,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"31","Akbarpur","Uttar Pradesh","CHAUDHARY DHARMENDRA SINGH YADAV","M","GEN",35,"RPI",623,16,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"32","Akbarpur","Uttar Pradesh","BAIKUNTH NATH","M","GEN",63,"JD(S)",595,17,637493,1461050,17,43.63252455,2470996,2094271,365806,"962","68.73%","BSP"
"33","Aligarh","Uttar Pradesh","RAJ KUMARI CHAUHAN","F","GEN",46,"BSP",193444,1,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"34","Aligarh","Uttar Pradesh","ZAFAR ALAM","M","GEN",66,"SP",176887,2,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"35","Aligarh","Uttar Pradesh","BIJENDRA SINGH","M","GEN",52,"INC",165776,3,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"36","Aligarh","Uttar Pradesh","SHEELA GAUTAM","F","GEN",77,"BJP",126988,4,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"37","Aligarh","Uttar Pradesh","TEJVIR SINGH","M","GEN",62,"IND",5033,5,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"38","Aligarh","Uttar Pradesh","KAILASH","M","GEN",30,"IND",3486,6,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"39","Aligarh","Uttar Pradesh","PRABHAT KUMAR","M","GEN",38,"IND",3111,7,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"40","Aligarh","Uttar Pradesh","SANJAY","M","GEN",33,"LD",2050,8,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
"41","Aligarh","Uttar Pradesh","HARENDRA SINGH BURMAN","M","GEN",35,"LPSP",1878,9,692645,1345351,23,51.48433383,3673889,2904140,729283,"882","67.52%","INC"
