,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex Ratio (per 1000),Average Literacy,INCUMBENT_PARTY,Incumbency
1,Alipurduars,West Bengal,MANOHAR TIRKEY,M,ST,54,RSP,384890,1,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,1
2,Alipurduars,West Bengal,PABAN KUMAR LAKRA,M,ST,56,AITC,272068,2,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
3,Alipurduars,West Bengal,MANOJ TIGGA,M,ST,36,BJP,199843,3,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
4,Alipurduars,West Bengal,JOACHIM BAXLA,M,ST,55,IND,18855,4,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
5,Alipurduars,West Bengal,PAULDEXION KHARIYA,M,ST,55,IND,16856,5,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
6,Alipurduars,West Bengal,ELIAS NARJINARY,M,ST,56,BSP,14155,6,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
7,Alipurduars,West Bengal,BILKAN BARA,M,ST,62,SWJP,9659,7,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
8,Alipurduars,West Bengal,THADDEUS LAKRA,M,ST,60,IND,8750,8,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
9,Alipurduars,West Bengal,KAMAL LAMA,M,ST,49,IND,8658,9,934139,1229301,9,75.98944441,2819086,2087766,720033,942,74.78%,RSP,0
10,Arambagh,West Bengal,MALIK SAKTI MOHAN,M,SC,49,CPM,630254,1,1163372,1375377,5,84.58568087,5913457,5056953,620554,966,78%,CPM,1
11,Arambagh,West Bengal,SAMBHU NATH MALIK,M,SC,50,INC,428696,2,1163372,1375377,5,84.58568087,5913457,5056953,620554,966,78%,CPM,0
12,Arambagh,West Bengal,MURARI BERA,M,SC,43,BJP,57903,3,1163372,1375377,5,84.58568087,5913457,5056953,620554,966,78%,CPM,0
13,Arambagh,West Bengal,PARIMAL BISWAS,M,SC,27,BSP,24762,4,1163372,1375377,5,84.58568087,5913457,5056953,620554,966,78%,CPM,0
14,Arambagh,West Bengal,SUBIR KUMAR MAJHI,M,SC,31,JDP,21722,5,1163372,1375377,5,84.58568087,5913457,5056953,620554,966,78%,CPM,0
15,Asansol,West Bengal,BANSA GOPAL CHOWDHURY,M,GEN,49,CPM,435161,1,893775,1250052,7,71.49902564,7717563,6008472,1599764,NA,NA,CPM,1
