"","Candidate","Constituency","Party","State.name","Candidate.Sex","Candidate.Category","Candidate.Age","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex.Ratio..per.1000.","Average.Literacy","INCUMBENT_PARTY","Incumbency","Education","Total.Assets","Women","Winner","Criminal.Case","SeriousCrime"
"1","'AIDS MAN' PRAKASH TATERAO LANDGE","Nanded","IND","Maharashtra","M","SC",40,2417,13,774686,1439015,22,53.83446316,3361292,2501741,471951,943,"75.45%","BJP",0,NA,NA,NA,NA,NA,NA
"2","A. HAROON ALI","Lucknow","IND","Uttar Pradesh","M","GEN",48,513,17,584055,1653123,41,35.33040191,4589838,3537787,985070,917,"77.29%","BJP",0,"Graduate",1751500,0,0,0,0
"3","A. RAEES A. JABBAR","Nanded","ANC","Maharashtra","M","GEN",36,1635,20,774686,1439015,22,53.83446316,3361292,2501741,471951,943,"75.45%","BJP",0,"Literate",50000,0,0,0,0
"4","A. RASHID ANSARI","Pratapgarh","MC","Uttar Pradesh","M","GEN",54,2281,20,641015,1435159,23,44.66508589,3209141,2731351,452394,998,"70.09%","SP",0,"Graduate",1789119,0,0,1,0
"5","A.T. NANA PATIL","Jalgaon","BJP","Maharashtra","M","GEN",47,343647,1,656573,1549391,13,42.37619813,4229917,3457615,560261,925,"78.20%","BJP",1,"Graduate",103839607,0,1,0,0
"6","AANANDAN   V.S.K.S.","Sivaganga","IND","Tamil Nadu","M","SC",46,746,19,775416,1092438,20,70.98032108,1339101,1186078,74310,1003,"79.85%","INC",0,NA,NA,NA,NA,NA,NA
"7","AAPPASAHEB RADHAKISAN KUDHEKAR","Jalna","KM","Maharashtra","M","GEN",29,3917,9,797131,1426255,19,55.8897953,1959046,1504641,274221,937,"71.52%","BJP",0,"12th Pass",555000,0,0,0,0
"8","AARON RASHID.J.M","Theni","INC","Tamil Nadu","M","GEN",58,340575,1,800649,1074931,22,74.48375756,1245899,1148990,56751,991,"77.26%",NA,0,"12th Pass",248974573,0,1,0,0
"9","AAVID HUSSAIN","Amethi","IND","Uttar Pradesh","M","GEN",31,1501,14,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,"","INC",0,"Not Given",1095200,0,0,0,0
"10","ABADHESH SHAKYA","Mainpuri","RSMD","Uttar Pradesh","M","GEN",41,1634,9,695980,1399259,15,49.73918338,1868529,1746649,100723,881,"75.99%","SP",0,"10th Pass",1230200,0,0,0,0
"11","ABDESH BHOOSHAN SRIVASTAVA","Jhansi","IND","Uttar Pradesh","M","GEN",48,4210,15,861859,1562082,18,55.17373608,1998603,1823930,147842,890,"75.05%","SP",0,"Not Given",2600,0,0,1,0
"12","ABDUL AZIZ ANSARI","Muzaffarnagar","PECP","Uttar Pradesh","M","GEN",57,6537,5,745829,1370117,23,54.43542413,4143512,2382914,1711453,889,"69.12%","SP",0,NA,NA,NA,NA,NA,NA
"13","ABDUL BASIT","Bijnor","KKJHS","Uttar Pradesh","M","GEN",64,807,21,708109,1287070,23,55.01713194,3682713,2032081,1585210,917,"68.48%","RLD",0,"Graduate",1092325,0,0,0,0
"14","ABDUL GAFUR GUDDU PIRJI","KHANDWA","IND","Madhya Pradesh","M","GEN",56,1499,10,813129,1355325,13,59.99513032,1310061,1182330,116277,943,"66.39%","BJP",0,NA,NA,NA,NA,NA,NA
"15","ABDUL JALEEL A","Mayiladuthurai","IND","Tamil Nadu","M","GEN",48,734,20,799586,1091519,23,73.254428,1616450,1435072,128617,NA,NA,"INC",0,"8th Pass",36000,0,0,0,0
"16","ABDUL KARIM CHOWDHARY","Raiganj","IND","West Bengal","M","GEN",62,18427,4,898839,1108382,12,81.09469479,3007134,1482943,1501170,939,"59.07%","INC",0,NA,NA,NA,NA,NA,NA
"17","ABDUL MAJEED,  OOSI","Vellore","IND","Tamil Nadu","M","GEN",62,1312,12,724156,1010067,24,71.69385793,3936331,3397857,414760,1007,"79.17%","DMK",0,NA,NA,NA,NA,NA,NA
"18","ABDUL MANNAN HOSSAIN","Murshidabad","INC","West Bengal","M","GEN",56,496348,1,1051791,1192899,11,88.1710019,7103807,2359061,4707573,958,"66.59%","INC",1,"Graduate",1709788,0,1,1,1
"19","ABDUL MOMIN SEKH","Howrah","IND","West Bengal","M","GEN",42,1176,14,994203,1344746,15,73.93240062,4850029,3535844,1270641,939,"83.31%","CPM",0,"12th Pass",220000,0,0,0,0
"20","ABDUL RAHMAN","Vellore","DMK","Tamil Nadu","M","GEN",49,360474,1,724156,1010067,24,71.69385793,3936331,3397857,414760,1007,"79.17%","DMK",1,"Graduate",12547128,0,1,0,0
"21","ABDUL RASHEED","GUNA","AD","Madhya Pradesh","M","GEN",35,1506,12,649981,1202772,18,54.04025036,1241519,1172248,49203,912,"63.23%","INC",0,NA,NA,NA,NA,NA,NA
"22","ABDUL RASHID","Baghpat","IND","Uttar Pradesh","M","GEN",26,1754,7,613847,1280602,16,47.9342528,1303048,917474,364583,861,"72.01%","RLD",0,"Graduate",70000,0,0,0,0
"23","ABDUL SAMAD","Bijnor","IND","Uttar Pradesh","M","GEN",37,1456,15,708109,1287070,23,55.01713194,3682713,2032081,1585210,917,"68.48%","RLD",0,"10th Pass",211943,0,0,0,0
"24","ABDUL SHAMAD KHAN","CHHINDWARA","IND","Madhya Pradesh","M","GEN",45,6273,9,829449,1154249,28,71.86049111,2090922,1923920,100692,964,"71.16%","INC",0,NA,NA,NA,NA,NA,NA
"25","ABDUR RAZZAQUE","Maldaha Dakshin","CPM","West Bengal","M","GEN",60,307097,2,829583,1052093,9,78.85072898,3988845,1914352,2045151,944,"61.73%","INC",0,NA,NA,NA,NA,NA,NA
"26","ABDUR REJAK SEIKH","Tamluk","IND","West Bengal","M","GEN",29,1456,9,1148514,1271230,9,90.34667212,5095875,4343972,743436,938,"87.02%","CPM",0,NA,NA,NA,NA,NA,NA
"27","ABDWURRUF ANSARI","Maharajganj","NLHP","Uttar Pradesh","M","GEN",45,7425,8,839577,1509167,15,55.63181543,2684703,2196884,458650,943,"62.76%","BJP",0,NA,NA,NA,NA,NA,NA
"28","ABHANG KONDIBHAU BHIMAJI","Shirur","IND","Maharashtra","M","GEN",48,1077,11,839271,1630466,11,51.47430244,9429408,8090254,673704,915,"86.15%",NA,0,"5th Pass",609000,0,0,0,0
"29","ABHAY SRIVASTAVA","Allahabad","IND","Uttar Pradesh","M","GEN",31,5976,7,550217,1267492,31,43.40989923,5954391,5102041,796756,901,"72.32%","SP",0,"Not Given",30000,0,0,0,0
"30","ABHAYPRATAP SINGH","Firozabad","JBSP","Uttar Pradesh","M","GEN",32,531,16,684904,1422243,16,48.15660896,2498156,2140745,314812,875,"71.92%","SP",0,"Post Graduate",202000,0,0,0,0
"31","ABHICHHEDILALYADAV","Unnao","IND","Uttar Pradesh","M","GEN",47,7585,6,904592,1818980,21,49.73072821,3108367,2732016,363453,907,"66.37%","BSP",0,"12th Pass",4087000,0,0,1,1
