,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
1,Agra,Uttar Pradesh,DR. RAMSHANKAR,M,SC,43,BJP,203697,1,647123,1539683,15,42.02962558,4418797,3922718,411313,868,71.58,0,Doctorate,1511000,0,1,0,0
2,Agra,Uttar Pradesh,KUNWAR CHAND (VAKIL),M,SC,51,BSP,193982,2,647123,1539683,15,42.02962558,4418797,3922718,411313,868,71.58,0,Graduate Professional,4310491,0,0,0,0
3,Agra,Uttar Pradesh,RAMJI LAL SUMAN,M,SC,57,SP,141367,3,647123,1539683,15,42.02962558,4418797,3922718,411313,868,71.58,1,Graduate Professional,17516869,0,0,1,0
4,Agra,Uttar Pradesh,PRABHUDAYAL KATHERIA,M,SC,57,INC,93373,4,647123,1539683,15,42.02962558,4418797,3922718,411313,868,71.58,0,Literate,40493500,0,0,0,0
5,Agra,Uttar Pradesh,VIVEK CHAUHAN VALMIKI,M,SC,35,RSMD,1236,8,647123,1539683,15,42.02962558,4418797,3922718,411313,868,71.58,0,Literate,27150,0,0,0,0
6,Agra,Uttar Pradesh,RAMESH,M,SC,30,JBSP,1070,11,647123,1539683,15,42.02962558,4418797,3922718,411313,868,71.58,0,8th Pass,504000,0,0,0,0
7,Agra,Uttar Pradesh,RAM DEVI,F,SC,46,HDVP,532,14,647123,1539683,15,42.02962558,4418797,3922718,411313,868,71.58,0,8th Pass,147000,1,0,0,0
9,Akbarpur,Uttar Pradesh,RAJARAM PAL,M,GEN,48,INC,192549,1,637493,1461050,17,43.63252455,2470996,2094271,365806,962,68.73,0,Graduate Professional,4400000,0,1,0,0
10,Akbarpur,Uttar Pradesh,ANIL SHUKLA WARSI,M,GEN,52,BSP,160506,2,637493,1461050,17,43.63252455,2470996,2094271,365806,962,68.73,1,Graduate,14442392,0,0,2,0
11,Akbarpur,Uttar Pradesh,ARUN KUMAR TIWARI BABA,M,GEN,47,BJP,136907,3,637493,1461050,17,43.63252455,2470996,2094271,365806,962,68.73,0,8th Pass,55104857,0,0,0,0
12,Akbarpur,Uttar Pradesh,KAMLESH KUMAR PATHAK,M,GEN,53,SP,114820,4,637493,1461050,17,43.63252455,2470996,2094271,365806,962,68.73,0,Doctorate,4691559,0,0,10,1
