ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,CAND_CATEGORY,PARTYABBRE,TOTVOTPOLL,POSITION,TOT_ELECTORS,TOT_VOTERS,TOT_CONTESTANT,POLL_PERCENT
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,YERRANNAIDU KINJARAPU,M,GEN,TDP,361906,1,958626,723948,5,75.52
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,KILLI KRUPARANI,F,GEN,INC,330027,2,958626,723948,5,75.52
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,DUNGA RANGARAO NAIDU,M,GEN,IND,13848,3,958626,723948,5,75.52
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,MYLAPALLI LAKSHMUDU,M,GEN,BSP,13011,4,958626,723948,5,75.52
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,TAMMINENI JAGANMOHAN RAO,M,GEN,IND,4982,5,958626,723948,5,75.52
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,M,ST,INC,321788,1,896336,660932,4,73.74
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,DADICHILUKA VEERA GOURI SANKARA RAO,M,ST,TDP,314370,2,896336,660932,4,73.74
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,UOOYAKA MUTYALU,M,ST,IND,13896,3,896336,660932,4,73.74
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,ARIKA GUMPASWAMY,M,ST,IND,10869,4,896336,660932,4,73.74
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,KONDAPALLI PYDITHALLI NAIDU,M,GEN,TDP,373922,1,976012,747072,4,76.54
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,JHANSI BOTCHA,F,GEN,INC,342574,2,976012,747072,4,76.54
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,PEDDINTI JAGANMOHAN RAO,M,GEN,IND,16098,3,976012,747072,4,76.54
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,G.VENKATESH,M,SC,TRS,14131,4,976012,747072,4,76.54
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,JANARDHANA REDDY NEDURUMALLI,M,GEN,INC,524122,1,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,DR.M.V.V.S.MURTHY,M,GEN,TDP,393551,2,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,KOLAVENTI SUNDARA RAO,M,GEN,BSP,16673,3,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,BHARANIKANA RAMA RAO,M,GEN,IND,11002,4,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,MANDEM SUBHASH CHANDRA BOSE YADAV,M,GEN,SP,5685,5,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,SATYANARAYANA MACHIRAJU,M,GEN,IND,5602,6,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,VAMSI KIRAN.B,M,GEN,PPOI,2920,7,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,S.V.B.REDDY,M,GEN,IND,2358,8,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,MAMIDI SOMUNAIDU,M,GEN,RJD,2018,9,1515574,966128,10,63.75
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,APPARAO GUDIVADA,M,GEN,IND,1809,10,1515574,966128,10,63.75
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,MIDIYAM BABU RAO,M,ST,CPM,373148,1,1193297,823532,5,69.01
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,SMT.KPRK PHANEESWARAMMA,F,ST,TDP,319342,2,1193297,823532,5,69.01
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,JANNI APPA RAO,M,ST,BSP,71978,3,1193297,823532,5,69.01
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,KETCHELA RANGA REDDI,M,ST,IND,38219,4,1193297,823532,5,69.01
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,MADAKAM BHEEMA RAJU,M,ST,MCPI(S),20728,5,1193297,823532,5,69.01
S01,ANDHRA PRADESH,6,Anakapalli,GEN,3,2004,CHALAPATHIRAO PAPPALA,M,GEN,TDP,385406,1,1023113,782106,3,76.44
S01,ANDHRA PRADESH,6,Anakapalli,GEN,3,2004,NANDA GOPAL GANDHAM,M,GEN,INC,369992,2,1023113,782106,3,76.44
S01,ANDHRA PRADESH,6,Anakapalli,GEN,3,2004,SADARAM APPALA RAJU,M,GEN,BSP,26708,3,1023113,782106,3,76.44
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,MALLIPUDI MANGAPATI PALLAM RAJU,M,GEN,INC,410982,1,1164984,832347,7,71.45
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,MUDRAGADA PADMANABHAM,M,GEN,TDP,353730,2,1164984,832347,7,71.45
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,CHANDRAVATHI DWARAMPUDI,F,GEN,IND,30153,3,1164984,832347,7,71.45
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,APPARAO PUAGALA,M,SC,BSP,16373,4,1164984,832347,7,71.45
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,NAINALASETTI MURTHY,M,GEN,CPI(ML)(L),9458,5,1164984,832347,7,71.45
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,PUVVALA ANANDA RAO,M,SC,IND,8544,6,1164984,832347,7,71.45
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,CHAGANTI SURYANARAYANA MURTHY,M,GEN,IND,3044,7,1164984,832347,7,71.45
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,2004,ARUNA KUMAR VUNDAVALLI,M,GEN,INC,413927,1,1074223,816276,6,75.99
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,2004,KANTIPUDI SARVARAYUDU,M,GEN,BJP,265107,2,1074223,816276,6,75.99
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,2004,S.B.P.B.K.SATYANARAYANA RAO,M,GEN,IND,99671,3,1074223,816276,6,75.99
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,2004,GURRALA PARAMJYOTHI,M,SC,IND,22598,4,1074223,816276,6,75.99
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,2004,PATAMSETTI V.V.S.V.PRASAD (BABU),M,GEN,IND,10192,5,1074223,816276,6,75.99
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,2004,DUGGIREDDY DHARMA REDDY,M,GEN,IND,4630,6,1074223,816276,6,75.99
S01,ANDHRA PRADESH,9,Amalapuram,SC,3,2004,G.V. HARSHA KUMAR,M,SC,INC,350346,1,904207,704415,5,77.9
S01,ANDHRA PRADESH,9,Amalapuram,SC,3,2004,DUNNA JANARDHANA RAO,M,SC,TDP,308861,2,904207,704415,5,77.9
S01,ANDHRA PRADESH,9,Amalapuram,SC,3,2004,MUNEESWARA RAO BHUPATI,M,SC,IND,26699,3,904207,704415,5,77.9
S01,ANDHRA PRADESH,9,Amalapuram,SC,3,2004,YALANGI RAMESH,M,SC,IND,9550,4,904207,704415,5,77.9
S01,ANDHRA PRADESH,9,Amalapuram,SC,3,2004,D. MURALIKRISHNA,M,SC,BSP,8768,5,904207,704415,5,77.9
S01,ANDHRA PRADESH,10,Narasapur,GEN,3,2004,CHEGONDI VENKATA HARIRAMA JOGAIAH,M,GEN,INC,402761,1,996175,768918,3,77.19
S01,ANDHRA PRADESH,10,Narasapur,GEN,3,2004,UPPALAPATI VENKATAKRISHNAM RAJU,M,GEN,BJP,338349,2,996175,768918,3,77.19
S01,ANDHRA PRADESH,10,Narasapur,GEN,3,2004,ALLURI YUGANDHARA  RAJU,M,GEN,PPOI,27427,3,996175,768918,3,77.19
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,KAVURU  SAMBA SIVA RAO,M,GEN,INC,499191,1,1151672,896961,7,77.88
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,BOLLA BULLI RAMAIAH,M,GEN,TDP,375900,2,1151672,896961,7,77.88
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,D.S.V.KRISHNAJI,M,GEN,BSP,8707,3,1151672,896961,7,77.88
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,B.N.V.SATYANARAYANA,M,GEN,TRS,4776,4,1151672,896961,7,77.88
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,S.V.SUBBARAO,M,GEN,IND,4736,5,1151672,896961,7,77.88
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,KODURI SRIRAMULU,M,GEN,IND,1904,6,1151672,896961,7,77.88
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,S.V.B.REDDY,M,GEN,IND,1732,7,1151672,896961,7,77.88
S01,ANDHRA PRADESH,12,Machilipatnam,GEN,3,2004,BADIGA RAMAKRISHNA,M,GEN,INC,387127,1,993370,755759,6,76.08
S01,ANDHRA PRADESH,12,Machilipatnam,GEN,3,2004,AMBATI BRAHMANAIAH,M,GEN,TDP,336786,2,993370,755759,6,76.08
S01,ANDHRA PRADESH,12,Machilipatnam,GEN,3,2004,YENDURI SUBRAHMANYESWARA RAO (MANI),M,GEN,IND,18477,3,993370,755759,6,76.08
S01,ANDHRA PRADESH,12,Machilipatnam,GEN,3,2004,ADAPALA SIVANNARAYANA,M,GEN,PPOI,6201,4,993370,755759,6,76.08
S01,ANDHRA PRADESH,12,Machilipatnam,GEN,3,2004,DODDA KAMESWARA RAO,M,GEN,IND,4297,5,993370,755759,6,76.08
S01,ANDHRA PRADESH,12,Machilipatnam,GEN,3,2004,B.S.RAO,M,GEN,TRS,2426,6,993370,755759,6,76.08
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,RAJAGOPAL LAGADAPATI,M,GEN,INC,519624,1,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,ASWINI DUTT CHALASANI,M,GEN,TDP,405037,2,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,NANDETI PRABHAKAR RAO,M,SC,BSP,6472,3,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,KONERU VARA LAKSHMI,F,GEN,PPOI,5105,4,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,SOMESWARA RAO MADALA,M,GEN,IND,3039,5,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,SYED MOINUDDIN,M,GEN,IND,1443,6,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,RAMACHANDRA RAO. J,M,GEN,TRS,1268,7,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,DOMAKONDA RAVI KUMAR,M,SC,IND,1005,8,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,JAKKA TARAKA MALLIKARJUNA RAO,M,GEN,IND,637,9,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,APPARAO DAMALAPATI,M,GEN,IND,549,10,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,GATLA VENKATA NARAYANA REDDY,M,GEN,IND,493,11,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,DONEPUDI SRINIVAS,M,GEN,IND,482,12,1464657,945954,13,64.59
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,GOTTUMUKKALA SIVA PRASADARAJU,M,GEN,IND,396,13,1464657,945954,13,64.59
S01,ANDHRA PRADESH,14,Tenali,GEN,3,2004,BALASHOWRY VALLABHANENI,M,GEN,INC,366843,1,880148,673781,7,76.55
S01,ANDHRA PRADESH,14,Tenali,GEN,3,2004,UMMAREDDY VENKATESWARLU,M,GEN,TDP,288287,2,880148,673781,7,76.55
S01,ANDHRA PRADESH,14,Tenali,GEN,3,2004,DILIP RAAJA DONEPUDI,M,SC,BSP,5694,3,880148,673781,7,76.55
S01,ANDHRA PRADESH,14,Tenali,GEN,3,2004,VENKATESWARLU PALLA,M,GEN,IND,5679,4,880148,673781,7,76.55
S01,ANDHRA PRADESH,14,Tenali,GEN,3,2004,NARASIMHA REDDY TERA,M,GEN,TRS,4183,5,880148,673781,7,76.55
