PC_NAME,CAND_NAME,PARTYABBRE
Rajapur,SURESH PRABHAKAR PRABHU,SHS
Ratnagiri,ANANT GEETE,SHS
Kolaba,A. R. ANTULAY,INC
Mumbai South,MILIND MURLI DEORA,INC
Mumbai South Central,MOHAN RAWALE,SHS
Mumbai North Central,EKNATH M. GAIKWAD,INC
Mumbai North East,KAMAT GURUDAS,INC
Mumbai North West,SUNIL DUTT,INC
Mumbai North,GOVINDA,INC
Thane,PARANJAPE PRAKASH VISHVANATH,SHS
Dahanu,SHINGADA DAMODAR BARKU,INC
Nashik,PINGALE DEVIDAS ANANDRAO,NCP
Malegaon,HARISCHANDRA DEVRAM CHAVAN,BJP
Dhule,CHAURE BAPU HARI,INC
Nandurbar,GAVIT MANIKRAO HODLYA,INC
Erandol,ANNASAHEB M. K. PATIL,BJP
Jalgaon,Y. G. MAHAJAN (SIR),BJP
Buldhana,ADSUL ANANDRAO VITHOBA,SHS
Akola,DHOTRE SANJAY SHAMRAO,BJP
Washim,GAWALI (PATIL) KU.  BHAVANA PUNDLIKRAO,SHS
Amravati,ANANT GUDHE,SHS
Ramtek,MOHITE SUBODH BABURAO,SHS
Nagpur,VILAS MUTTEMWAR,INC
Bhandara,PATLE SHISHUPAL NATTHU,BJP
Chimur,SHIVANKAR MAHADEORAO SUKAJI,BJP
Chandrapur,AHIR HANSRAJ GANGARAM,BJP
Wardha,WAGMARE SURESH GANAPAT,BJP
Yavatmal,RATHOD HARISING NASARU,BJP
Hingoli,SURYAKANTA PATIL,NCP
Nanded,D. B. PATIL,BJP
Parbhani,TUKARAM GANPATRAO RENGE PATIL,SHS
Jalna,DANVE RAOSAHEB DADARAO PATIL,BJP
Aurangabad,CHANDRAKANT KHAIRE,SHS
Beed,JAISINGRAO GAIKWAD PATIL,NCP
Latur,PATIL RUPATAI DILIPRAO NILANGEKAR,BJP
Osmanabad,NARHIRE KALPANA RAMESH,SHS
Sholapur,DESHMUKH SUBHASH SURESHCHANDRA,BJP
Pandharpur,ATHAWALE RAMDAS BANDU,RPI(A)
Ahmednagar,GADAKH TUKARAM GANGADHAR,NCP
Kopargaon,E.  V.  ALIAS BALASAHEB VIKHE PATIL,INC
Khed,ADHALARAO PATIL SHIVAJIRAO,SHS
Pune,KALMADI SURESH,INC
Baramati,PAWAR SHARADCHANDRA GOVINDRAO,NCP
Satara,LAXMANRAO PANDURANG JADHAV (PATIL),NCP
Karad,PATIL SHRINIWAS DADASAHEB,NCP
Sangli,Patil Prakashbapu Vasantdada,INC
Ichalkaranji,MANE NIVEDITA SAMBHAJIRAO,NCP
Kolhapur,MANDLIK SADASHIVRAO DADOBA,NCP
