PC_NAME,CAND_NAME,PARTYABBRE
Madras North,KUPPUSAMI. C,DMK
Madras Central,DAYANIDHI MARAN,DMK
Madras South,"BAALU, T. R.",DMK
Sriperumbudur,KRISHNASWAMY. A,DMK
Chengalpattu,"MOORTHY, A.K.",PMK
Arakkonam,"VELU, R.",PMK
Vellore,"KADER MOHIDEEN, K. M",DMK
Tiruppattur,"VENUGOPAL, D.",DMK
Vandavasi,"RAMACHANDRAN GINGEE, N.",MDMK
Tindivanam,DHANARAJU. K,PMK
Cuddalore,VENKATAPATHY. K,DMK
Chidambaram,"PONNUSWAMY, E.",PMK
Dharmapuri,"SENTHIL, DR. R.",PMK
Krishnagiri,SUGAVANAM. E. G,DMK
Rasipuram,RANI. K,INC
Salem,THANGKABALU K. V.,INC
Tiruchengode,SUBBULAKSHMI JAGADEESAN,DMK
Nilgiris,PRABHU R.,INC
Gobichettipalayam,"ELANGOVAN, E. V. K. S.",INC
Coimbatore,"SUBBARAYAN, K.",CPI
Pollachi,"KRISHNAN, DR. C",MDMK
Palani,"KHARVENTHAN, S. K.",INC
Dindigul,"CHITTHAN, N. S. V.",INC
Madurai,"MOHAN, P.",CPM
Periyakulam,AARON RASHID J. M.,INC
Karur,"PALANISAMY, K. C.",DMK
Tiruchirappalli,GANESAN. L,MDMK
Perambalur,"RAJA, A.",DMK
Mayiladuturai,MANI SHANKAR AIYAR,INC
Nagapattinam,"VIJAYAN, A. K. S.",DMK
Thanjavur,PALANIMANICKAM. S. S.,DMK
Pudukkottai,"REGUPATHY, S.",DMK
Sivaganga,"CHIDAMBARAM, P.",INC
Ramanathapuram,BHAVANI RAJENTHIRAN. M. S. K.,DMK
Sivakasi,"RAVICHANDRAN, A",MDMK
Tirunelveli,"DHANUSKODI ATHITHAN, R.",INC
Tenkasi,"APPADURAI, M.",CPI
Tiruchendur,RADHIKA SELVI. V,DMK
Nagercoil,BELLARMIN. A. V.,CPM
