PC_NAME,CAND_NAME,PARTYABBRE
Bijnor,Munshiram S/o Sri Ramcharan Singh,RLD
Amroha,HARISH NAGPAL,IND
Moradabad,DR. SHAFIQURRAHMAN BARQ,SP
Rampur,P. JAYA PRADA NAHATA,SP
Sambhal,PRO. RAM GOPAL YADAV,SP
Budaun,SALEEM IQBAL SHERVANI,SP
Aonla,KUNWAR SARVRAJ SINGH,JD(U)
Bareilly,SANTOSH GANGWAR,BJP
Pilibhit,MANEKA GANDHI,BJP
Shahjahanpur,KUNWAR JITIN PRASAD,INC
Kheri,RAVI PRAKASH VERMA,SP
Shahabad,ILIYAS AZMI,BSP
Sitapur,RAJESH VERMA,BSP
Misrikh,ASHOK KUMAR RAWAT,BSP
Hardoi,USHA VERMA,SP
Lucknow,ATAL BIHARI VAJPAYEE,BJP
Mohanlalganj,JAI PRAKASH,SP
Unnao,BRAJESH PATHAK,BSP
Rae Bareli,SONIA GANDHI,INC
Pratapgarh,"AKSHAY PRATAP SINGH ""GOPAL JI""",SP
Amethi,RAHUL GANDHI,INC
Sultanpur,MOHD. TAHIR,BSP
Akbarpur,MAYA WATI,BSP
Faizabad,MITRASEN,BSP
Bara Banki,KAMLA PRASAD,BSP
Kaiserganj,BENI PRASAD VERMA,SP
Bahraich,RUBAB SAYEDA,SP
Balrampur,BRIJ BHUSHAN SHARAN SINGH,BJP
Gonda,KIRTI VARDHAN SINGH  ALIAS RAJA BHAIYA,SP
Basti,LAL MANI PRASAD,BSP
Domariaganj,MOHD. MUQUEEM,BSP
Khalilabad,BHALCHANDRA YADAVA,BSP
Bansgaon,MAHAVEER PRASAD,INC
Gorakhpur,ADITYA NATH,BJP
Maharajganj,PANKAJ,BJP
Padrauna,BALESHWAR YADAV,NLP
Deoria,MOHAN SINGH,SP
Salempur,HARIKEVAL PRASAD,SP
Ballia,CHANDRA SHEKHAR,SJP(R)
Ghosi,CHANDRADEO PRASAD RAJBHAR,SP
Azamgarh,RAMAKANT YADAV,BSP
Lalganj,DAROGA PRASAD SAROJ,SP
Machhlishahr,UMAKANT YADAV,BSP
Jaunpur,PARASNATH YADAVA,SP
Saidpur,TUFANI SAROJ,SP
Ghazipur,AFAJAL ANSARI,SP
Chandauli,KAILASH NATH SINGH YADAV,BSP
Varanasi,DR. RAJESH KUMAR MISHRA,INC
Robertsganj,LALCHANDRA,BSP
Mirzapur,NARENDRA KUMAR KUSHWAHA,BSP
Phulpur,ATIQUE AHAMAD,SP
Allahabad,KUNWAR REWATI RAMAN SINGH URF MANI JI,SP
Chail,SHAILENDRA KUMAR,SP
Fatehpur,MAHENDRA PRASAD NISHAD,BSP
Banda,SHYAMA CHARAN GUPT,SP
Hamirpur,RAJNARAYAN ALIAS RAJJU MAHRAJ,SP
Jhansi,CHANDRAPAL SINGH YADAV,SP
Jalaun,BHANU PRATAP SINGH VERMA,BJP
Ghatampur,RADHEY SHYAM KORI,SP
Bilhaur,RAJA RAM PAL,BSP
Kanpur,SHRIPRAKASH JAISWAL,INC
Etawah,RAGHURAJ SINGH SHAKYA,SP
Kannauj,AKHILESH YADAV,SP
Farrukhabad,CHANDRA BHUSHAN SINGH (MUNNOO BABU),SP
Mainpuri,MULAYAM SINGH YADAV,SP
Jalesar,PRO. S.P SINGH BAGHEL,SP
Etah,KU. DEVENDRA SINGH YADAV,SP
Firozabad,RAM JI LAL SUMAN,SP
Agra,RAJ BABBAR,SP
Mathura,MANVENDRA SINGH,INC
Hathras,KISHAN LAL DILER,BJP
Aligarh,BIJENDRA SINGH,INC
Khurja,ASHOK KUMAR PRADHAN,BJP
Bulandshahr,KALYAN SINGH,BJP
Hapur,SURENDRA PRAKASH GOYAL,INC
Meerut,MOHD. SHAHID,BSP
Baghpat,AJIT SINGH,RLD
Muzaffarnagar,CH. MUNAWWAR HASAN,SP
Kairana,ANURADHA CHOUDHARY,RLD
Saharanpur,RASHEED MASOOD,SP
