PC_NAME,CAND_NAME,PARTYABBRE
Cooch Behar,Hiten Barman,AIFB
Alipurduars,Joachim Baxla,RSP
Jalpaiguri,Minati Sen,CPM
Darjeeling,Dawa Narbula,INC
Raiganj,Priya Ranjan Dasmunsi,INC
Balurghat,Ranen Barman,RSP
Malda,A. B. A. Ghani Khan Choudhury,INC
Jangipur,Pranab Mukherjee,INC
Murshidabad,Abdul Mannan Hossain,INC
Berhampore,Adhir Ranjan Chowdhury,INC
Krishnagar,Jyotirmoyee Sikdar,CPM
Nabadwip,Alakesh Das,CPM
Barasat,Subrata Bose,AIFB
Basirhat,Ajay Chakraborty,CPI
Joynagar,Sanat Kumar Mandal,RSP
Mathurapur,Basudeb Barman,CPM
Diamond Harbour,Samik Lahiri,CPM
Jadavpur,Sujan Chakraborty,CPM
Barrackpore,Tarit Baran Topdar,CPM
Dum Dum,Amitava Nandy,CPM
Calcutta North West,Sudhangshu Seal,CPM
Calcutta North East,Md. Salim,CPM
Calcutta South,Mamata Banerjee,AITC
Howrah,Swadesh Chakrabortty,CPM
Uluberia,Hannan Mollah,CPM
Serampore,Santasri Chatterjee,CPM
Hooghly,Rupchand Pal,CPM
Arambagh,Anil Basu,CPM
Panskura,Gurudas Dasgupta,CPI
Tamluk,Seth Lakshman Chandra,CPM
Contai,Prasanta Pradhan,CPM
Midnapore,Prabodh Panda,CPI
Jhargram,Rupchand Murmu,CPM
Purulia,Bir Singh Mahato,AIFB
Bankura,Acharia Basudeb,CPM
Vishnupur,Susmita Bauri,CPM
Durgapur,Sunil Khan,CPM
Asansol,Bikash Chowdhury,CPM
Burdwan,Nikhilananda Sar,CPM
Katwa,Mahboob Zahedi,CPM
Bolpur,Chatterjee Somnath,CPM
Birbhum,Ram Chandra Dome,CPM
