"","sno","District","Headquarters","Population","Sex Ratio (per 1000)","Average Literacy"
"1","1","Ahmednagar","Ahmednagar","4,543,159","939","79.05%"
"2","2","Akola","Akola","1,813,906","946","88.05%"
"3","3","Amravati","Amravati","2,888,445","951","87.38%"
"4","4","Aurangabad","Aurangabad","3,701,282","923","79.02%"
"5","5","Beed","Beed","2,585,049","916","76.99%"
"6","6","Bhandara","Bhandara","1,200,334","982","83.76%"
"7","7","Buldhana","Buldhana","2,586,258","934","83.4%"
"8","8","Chandrapur","Chandrapur","2,204,307","961","80.01%"
"9","9","Dhule","Dhule","2,050,862","946","72.8%"
"10","10","Gadchiroli","Gadchiroli","1,072,942","982","74.36%"
"11","11","Gondia","Gondia","1,322,507","999","84.95%"
"12","12","Hingoli","Hingoli","1,177,345","942","78.17%"
"13","13","Jalgaon","Jalgaon","4,229,917","925","78.2%"
"14","14","Jalna","Jalna","1,959,046","937","71.52%"
"15","15","Kolhapur","Kolhapur","3,876,001","957","81.51%"
"16","16","Latur","Latur","2,454,196","928","77.26%"
"17","17","Mumbai City","-","3,085,411","832","89.21%"
"18","18","Mumbai Suburban","Bandra (East)","9,356,962","860","89.91%"
"19","19","Nagpur","Nagpur","4,653,570","951","88.39%"
"20","googletag.cmd.push(function() { googletag.display('div-gpt-ad-1417419205614-0'); });",NA,NA,NA,NA,NA
"21","20","Nanded","Nanded","3,361,292","943","75.45%"
"22","21","Nandurbar","Nandurbar","1,648,295","978","64.38%"
"23","22","Nashik","Nashik","6,107,187","934","82.31%"
"24","23","Osmanabad","Osmanabad","1,657,576","924","78.44%"
"25","24","Parbhani","Parbhani","1,836,086","947","73.34%"
"26","25","Pune","Pune","9,429,408","915","86.15%"
"27","26","Raigad","Alibag","2,634,200","959","83.14%"
"28","27","Ratnagiri","Ratnagiri","1,615,069","1122","82.18%"
"29","28","Sangli","Sangli","2,822,143","966","81.48%"
"30","29","Satara","Satara","3,003,741","988","82.87%"
"31","30","Sindhudurg","Oros","849,651","1036","85.56%"
"32","31","Solapur","Solapur","4,317,756","938","77.02%"
"33","32","Thane","Thane","11,060,148","886","84.53%"
"34","33","Wardha","Wardha","1,300,774","946","86.99%"
"35","34","Washim","Washim","1,197,160","930","83.25%"
"36","35","Yavatmal","Yavatmal","2,772,348","952","82.82%"
