"","S No.","District","Headquarters","Population (Census 2011)","Sex Ratio (per 1000)","Average Literacy"
"1","1","Ariyalur","Ariyalur","754,894","1015","71.34%"
"2","2","Chennai","Chennai (Madras)","4,646,732","989","90.18%"
"3","3","Coimbatore","Coimbatore","3,458,045","1000","83.98%"
"4","4","Cuddalore","Cuddalore","2,605,914","987","78.04%"
"5","5","Dharmapuri","Dharmapuri","1,506,843","946","68.54%"
"6","6","Dindigul","Dindigul","2,159,775","998","76.26%"
"7","7","Erode","Erode","2,251,744","993","72.58%"
"8","8","Kanchipuram","Kanchipuram","3,998,252","986","84.49%"
"9","9","Kanyakumari","Nagercoil","1,870,374","1019","91.75%"
"10","10","Karur","Karur","1,064,493","1015","75.6%"
"11","11","Krishnagiri","Krishnagiri","1,879,809","958","71.46%"
"12","12","Madurai","Madurai","3,038,252","990","83.45%"
"13","13","Nagapattinam","Nagapattinam","1,616,450","1025","83.59%"
"14","14","Namakkal","Namakkal","1,726,601","986","74.63%"
"15","15","Perambalur","Perambalur","565,223","1003","74.32%"
"16","16","Pudukkottai","Pudukkottai","1,618,345","1015","77.19%"
"17","17","Ramanathapuram","Ramanathapuram","1,353,445","983","80.72%"
"18","18","Salem","Salem","3,482,056","954","72.86%"
"19","19","Sivaganga","Sivaganga","1,339,101","1003","79.85%"
"20","20","Thanjavur","Thanjavur","2,405,890","1035","82.64%"
"21","21","The Nilgiris","Udagamandalam (Ootacamund/Ooty)","735,394","1042","85.2%"
"22","22","Theni","Theni","1,245,899","991","77.26%"
"23","23","Thiruvallur","Tiruvallur","3,728,104","987","84.03%"
"24","24","Thiruvarur","Tiruvarur","1,264,277","1017","82.86%"
"25","25","Thoothukudi","Thoothukudi (Tuticorin)","1,750,176","1023","86.16%"
"26","26","Tiruchirappalli","Tiruchirappalli","2,722,290","1013","83.23%"
"27","27","Tirunelveli","Tirunelveli","3,077,233","1023","82.5%"
"28","28","Tirupur","Tirupur","2,479,052","989","78.68%"
"29","29","Tiruvannamalai","Tiruvannaamalai","2,464,875","994","74.21%"
"30","30","Vellore","Vellore","3,936,331","1007","79.17%"
"31","31","Viluppuram","Viluppuram","3,458,873","987","71.88%"
"32","32","Virudhunagar","Virudhunagar","1,942,288","1007","80.15%"
