"","S No.","District","Headquarters","Population (Census 2011)","Sex Ratio (per 1000)","Average Literacy"
"1","1","Agra","Agra","4,418,797","868","71.58%"
"2","2","Aligarh","Aligarh","3,673,889","882","67.52%"
"3","3","Allahabad","Allahabad","5,954,391","901","72.32%"
"4","4","Ambedkar Nagar","Akbarpur","2,397,888","978","72.23%"
"5","5","Amethi","Gauriganj","","",""
"6","6","Amroha","Amroha","","",""
"7","7","Auraiya","Auraiya","1,379,545","864","78.95%"
"8","8","Azamgarh","Azamgarh","4,613,913","1019","70.93%"
"9","9","Baghpat","Baghpat","1,303,048","861","72.01%"
"10","10","Bahraich","Bahraich","3,487,731","892","49.36%"
"11","11","Ballia","Ballia","3,239,774","937","70.94%"
"12","12","Balrampur","Balrampur","2,148,665","928","49.51%"
"13","13","Banda","Banda","1,799,410","863","66.67%"
"14","14","Barabanki","Barabanki","3,260,699","910","61.75%"
"15","15","Bareilly","Bareilly","4,448,359","887","58.49%"
"16","16","Basti","Basti","2,464,464","963","67.22%"
"17","17","Bijnor","Bijnor","3,682,713","917","68.48%"
"18","18","Budaun","Budaun","3,681,896","871","51.29%"
"19","19","Bulandshahr","Bulandshahr","3,499,171","896","68.88%"
"20","20","Chandauli","Chandauli","1,952,756","918","71.48%"
"21","21","Chitrakoot","Chitrakoot","991,730","879","65.05%"
"22","22","Deoria","Deoria","3,100,946","1017","71.13%"
"23","23","Etah","Etah","1,774,480","873","70.81%"
"24","24","Etawah","Etawah","1,581,810","870","78.41%"
"25","25","Faizabad","Faizabad","2,470,996","962","68.73%"
"26","26","Farrukhabad","Fatehgarh","1,885,204","874","69.04%"
"27","27","Fatehpur","Fatehpur","2,632,733","901","67.43%"
"28","28","Firozabad","Firozabad","2,498,156","875","71.92%"
"29","29","Gautam Buddha Nagar","Noida","1,648,115","851","80.12%"
"30","30","Ghaziabad","Ghaziabad","4,681,645","881","78.07%"
"31","31","Ghazipur","Ghazipur","3,620,268","952","71.78%"
"32","32","Gonda","Gonda","3,433,919","921","58.71%"
"33","33","Gorakhpur","Gorakhpur","4,440,895","950","70.83%"
"34","34","Hamirpur","Hamirpur","1,104,285","861","68.77%"
"35","35","Hardoi","Hardoi","4,092,845","868","64.57%"
"36","36","Hathras (Mahamaya Nagar)","Hathras","1,564,708","871","71.59%"
"37","37","Jalaun","Orai","1,689,974","865","73.75%"
"38","38","Jaunpur","Jaunpur","4,494,204","1024","71.55%"
"39","39","Jhansi","Jhansi","1,998,603","890","75.05%"
"40","40","Jyotiba Phule Nagar","Amroha","1,840,221","910","63.84%"
"41","41","Kannauj","Kannauj","1,656,616","879","72.7%"
"42","42","Kanpur Dehat (Ramabai Nagar)","Akbarpur (Mati)","1,796,184","865","75.78%"
"43","43","Kanpur Nagar","Kanpur","4,581,268","862","79.65%"
"44","44","Kanshiram Nagar","Kasganj","1,436,719","880","61.02%"
"45","45","Kaushambi","Manjhanpur","1,599,596","908","61.28%"
"46","46","Kheri","Lakhimpur","4,021,243","894","60.56%"
"47","47","Kushinagar","Padrauna","3,564,544","961","65.25%"
"48","48","Lalitpur","Lalitpur","1,221,592","906","63.52%"
"49","49","Lucknow","Lucknow","4,589,838","917","77.29%"
"50","50","Maharajganj","Maharajganj","2,684,703","943","62.76%"
"51","51","Mahoba","Mahoba","875,958","878","65.27%"
"52","52","Mainpuri","Mainpuri","1,868,529","881","75.99%"
"53","53","Mathura","Mathura","2,547,184","863","70.36%"
"54","54","Mau","Maunath Bhanjan","2,205,968","979","73.09%"
"55","55","Meerut","Meerut","3,443,689","886","72.84%"
"56","56","Mirzapur","Mirzapur","2,496,970","903","68.48%"
"57","57","Moradabad","Moradabad","4,772,006","906","56.77%"
"58","58","Muzaffarnagar","Muzaffarnagar","4,143,512","889","69.12%"
"59","59","Panchsheel Nagar district (Hapur)","Hapur","","",""
"60","60","Pilibhit","Pilibhit","2,031,007","895","61.47%"
"61","61","Pratapgarh","Pratapgarh","3,209,141","998","70.09%"
"62","62","Raebareli","Raebareli","3,405,559","943","67.25%"
"63","63","Rampur","Rampur","2,335,819","909","53.34%"
"64","64","Saharanpur","Saharanpur","3,466,382","890","70.49%"
"65","65","Sant Kabir Nagar","Khalilabad","1,715,183","972","66.72%"
"66","66","Sant Ravidas Nagar","Gyanpur","1,578,213","955","68.97%"
"67","67","Shahjahanpur","Shahjahanpur","3,006,538","872","59.54%"
"68","68","Shamli","Shamli","","",""
"69","69","Shravasti","Bhinga","1,117,361","881","46.74%"
"70","70","Siddharthnagar","Navgarh","2,559,297","976","59.25%"
"71","71","Sitapur","Sitapur","4,483,992","888","61.12%"
"72","72","Sonbhadra","Robertsganj","1,862,559","918","64.03%"
"73","73","Sultanpur","Sultanpur","3,797,117","983","69.27%"
"74","74","Unnao","Unnao","3,108,367","907","66.37%"
"75","75","Varanasi","Varanasi","3,676,841","913","75.6%"
