MH_Religion_District,MH_Constituency
Nandurbar,Nandurbar
Dhule,Dhule
Jalgaon,Jalgaon
Thane,Palghar
Thane,Kalyan
Buldana,Buldhana
Akola,Akola
Ahmadnagar,Shirdi
Amravati,Amravati
Pune,Baramati
Wardha,Wardha
Satara,Madha
Nagpur,Nagpur
Bhandara,Bhandara - gondiya
Thane,Bhiwandi
Gadchiroli,Gadchiroli-Chimur
Chandrapur,Chandrapur
Yavatmal,Yavatmal-Washim
Pune,Maval
Nanded,Nanded
Hingoli,Hingoli
Nashik,Dindori
Parbhani,Parbhani
Jalna,Jalna
Aurangabad,Aurangabad
Nashik,Nashik
Thane,Thane
Mumbai,Mumbai North
Mumbai,Mumbai North West
Mumbai,Mumbai North East
Mumbai,Mumbai North central
Mumbai,Mumbai South central
Mumbai,Mumbai   South
Jalgaon,Raver
Raigarh,Raigad
Pune,Pune
Ahmadnagar,Ahmadnagar
Bid,Beed
Latur,Latur
Osmanabad,Osmanabad
Solapur,Solapur
Satara,Satara
Sangli,Hatkanangle
Nagpur,Ramtek
Ratnagiri,Ratnagiri - sindhudurg
Pune,Shirur
Kolhapur,Kolhapur
Sangli,Sangli
