Table,Distt.,Area Name,Total Persons,Total HinduPersons,Total Muslim Persons
C0101,000,State - MAHARASHTRA,112374333,89703057,12971152
C0101,497,Nandurbar,1648295,1521618,96182
C0101,498,Dhule,2050862,1825460,187901
C0101,499,Jalgaon,4229917,3457615,560261
C0101,500,Buldana,2586258,1845424,354236
C0101,501,Akola,1813906,1107809,357253
C0101,502,Washim,1197160,859949,142672
C0101,503,Amravati,2888445,2055177,421410
C0101,504,Wardha,1300774,1057096,53854
C0101,505,Nagpur,4653570,3492202,390974
C0101,506,Bhandara,1200334,1009352,26502
C0101,507,Gondiya,1322507,1153861,26157
C0101,508,Gadchiroli,1072942,927411,21063
C0101,509,Chandrapur,2204307,1780085,92297
C0101,510,Yavatmal,2772348,2251401,239236
C0101,511,Nanded,3361292,2501741,471951
C0101,512,Hingoli,1177345,863199,127552
C0101,513,Parbhani,1836086,1328385,306364
C0101,514,Jalna,1959046,1504641,274221
C0101,515,Aurangabad,3701282,2545438,786677
C0101,516,Nashik,6107187,5237009,693052
C0101,517,Thane,11060148,8716055,1355630
C0101,518,Mumbai Suburban,9356962,6337132,1795788
C0101,519,Mumbai,3085411,1873762,773173
C0101,520,Raigarh,2634200,2239370,227465
C0101,521,Pune,9429408,8090254,673704
C0101,522,Ahmadnagar,4543159,4107143,320743
C0101,523,Bid,2585049,2174672,320395
C0101,524,Latur,2454196,2006984,367664
C0101,525,Osmanabad,1657576,1437623,178925
C0101,526,Solapur,4317756,3795424,441254
C0101,527,Satara,3003741,2691952,146970
C0101,528,Ratnagiri,1615069,1307211,187197
C0101,529,Sindhudurg,849651,780384,26264
C0101,530,Kolhapur,3876001,3379906,286558
C0101,531,Sangli,2822143,2440312,239607
