Table,Distt.,Area Name,Total Persons,Total HinduPersons,Total Muslim Persons
C0101,000,State - MADHYA PRADESH,72626809,66007121,4774695
C0101,418,Sheopur ,687861,638702,41396
C0101,419,Morena,1965970,1875495,76159
C0101,420,Bhind,1703005,1595400,66776
C0101,421,Gwalior,2032036,1835299,141735
C0101,422,Datia,786754,747693,28483
C0101,423,Shivpuri,1726050,1648749,51200
C0101,424,Tikamgarh,1445166,1383475,44143
C0101,425,Chhatarpur,1762375,1676918,70351
C0101,426,Panna,1016520,974748,35214
C0101,427,Sagar,2378458,2198297,103480
C0101,428,Damoh,1264219,1186420,47966
C0101,429,Satna,2228935,2158623,59471
C0101,430,Rewa,2365106,2268838,85414
C0101,431,Umaria,644758,620515,15966
C0101,432,Neemuch ,826067,741288,67324
C0101,433,Mandsaur,1340411,1192588,125548
C0101,434,Ratlam,1455069,1267043,151071
C0101,435,Ujjain,1986864,1718204,233133
C0101,436,Shajapur,1512681,1321003,174724
C0101,437,Dewas,1563715,1376591,174259
C0101,438,Dhar,2185793,2051219,116202
C0101,439,Indore,3276697,2728225,415142
C0101,440,Khargone (West Nimar),1873046,1725441,135085
C0101,441,Barwani ,1385881,1318869,58222
C0101,442,Rajgarh,1545814,1433879,106928
C0101,443,Vidisha,1458875,1287391,149548
C0101,444,Bhopal,2371061,1755861,525434
C0101,445,Sehore,1311332,1163607,137980
C0101,446,Raisen,1331597,1195235,120331
C0101,447,Betul,1575362,1505745,37590
C0101,448,Harda ,570465,527462,38640
C0101,449,Hoshangabad,1241350,1175203,52269
C0101,450,Katni ,1292042,1240650,37232
C0101,451,Jabalpur,2463289,2159065,203652
C0101,452,Narsimhapur,1091854,1038628,39048
C0101,453,Dindori ,704524,605435,6736
C0101,454,Mandla,1054905,849518,16558
C0101,455,Chhindwara,2090922,1923920,100692
C0101,456,Seoni,1379131,1145052,79739
C0101,457,Balaghat,1701698,1519384,38542
C0101,458,Guna,1241519,1172248,49203
C0101,459,Ashoknagar,845071,778214,40707
C0101,460,Shahdol,1066063,997073,42426
C0101,461,Anuppur,749237,686524,21473
C0101,462,Sidhi,1127033,1077545,34419
C0101,463,Singrauli,1178273,1118998,46574
C0101,464,Jhabua,1025048,960925,15733
C0101,465,Alirajpur,728999,705060,17660
C0101,466,Khandwa (East Nimar),1310061,1182330,116277
C0101,467,Burhanpur,757847,552526,180840
