TN_Literacy,TN_Constituency
Thiruvallur,Thiruvallur
Chennai,Chennai North
Chennai,Chennai South
Chennai,Chennai central
Chennai,Tenkasi
Kanchipuram,Kancheepuram
Coimbatore,Pollachi
Vellore,Vellore
Tiruvannamalai,Tiruvannamalai
Thiruvallur,Arani
Viluppuram,Viluppuram
The Nilgiris,Sriperumbudur
Salem,Salem
Vellore,Arakkonam
Namakkal,Namakkal
Erode,Erode
The Nilgiris,Nilgiris
Dindigul,Dindigul
Karur,Karur
Tiruchirappalli,Tiruchirappalli
Perambalur,Perambalur
Cuddalore,Cuddalore
Nagapattinam,Nagapattinam
Thanjavur,Thanjavur
Sivaganga,Sivaganga
Nagapattinam  ,Mayiladuthurai
Madurai,Madurai
Theni,Theni
Virudhunagar,Virudhunagar
Ramanathapuram,Ramanathapuram
Thoothukudi,Thoothukkudi
Tirunelveli,Tirunelveli
Viluppuram,Kallakurichi
Kanyakumari,Kanniyakumari
Dharmapuri,Dharmapuri
Cuddalore,Chidambaram
Krishnagiri,Krishnagiri
Coimbatore,Coimbatore
Tirupur,Tiruppur
