Table,Distt.,Area Name,Total Persons,Total HinduPersons,Total Muslim Persons
C0101,000,State - TAMIL NADU,72147030,63188168,4229479
C0101,602,Thiruvallur,3728104,3325823,143093
C0101,603,Chennai,4646732,3751322,439270
C0101,604,Kancheepuram,3998252,3537399,173785
C0101,605,Vellore,3936331,3397857,414760
C0101,606,Tiruvannamalai,2464875,2294369,91636
C0101,607,Viluppuram,3458873,3174941,133896
C0101,608,Salem,3482056,3326357,95487
C0101,609,Namakkal   ,1726601,1673652,32483
C0101,610,Erode,2251744,2115455,76098
C0101,611,The Nilgiris,735394,569477,78452
C0101,612,Dindigul,2159775,1879494,105012
C0101,613,Karur ,1064493,993666,53292
C0101,614,Tiruchirappalli,2722290,2279413,190964
C0101,615,Perambalur  ,565223,521658,32702
C0101,616,Ariyalur  ,754894,708397,7942
C0101,617,Cuddalore,2605914,2391675,123749
C0101,618,Nagapattinam  ,1616450,1435072,128617
C0101,619,Thiruvarur,1264277,1132785,96092
C0101,620,Thanjavur,2405890,2075870,190814
C0101,621,Pudukkottai,1618345,1428784,114194
C0101,622,Sivaganga,1339101,1186078,74310
C0101,623,Madurai,3038252,2760502,168881
C0101,624,Theni  ,1245899,1148990,56751
C0101,625,Virudhunagar,1942288,1822626,47838
C0101,626,Ramanathapuram,1353445,1047411,208038
C0101,627,Thoothukkudi,1750176,1373920,80740
C0101,628,Tirunelveli ,3077233,2425630,303368
C0101,629,Kanniyakumari,1870374,909872,78590
C0101,630,Dharmapuri,1506843,1452956,38304
C0101,631,Krishnagiri,1879809,1723737,115303
C0101,632,Coimbatore,3458045,3044145,211035
C0101,633,Tiruppur,2479052,2278835,123983
