Table,Distt.,Area Name,Total Persons,Total HinduPersons,Total Muslim Persons
C0101,000,State - WEST BENGAL,91276115,64385546,24654825
C0101,327,Darjiling ,1846823,1366681,105086
C0101,328,Jalpaiguri ,3872846,3156781,445817
C0101,329,Koch Bihar ,2819086,2087766,720033
C0101,330,Uttar Dinajpur,3007134,1482943,1501170
C0101,331,Dakshin Dinajpur,1676276,1232850,412788
C0101,332,Maldah ,3988845,1914352,2045151
C0101,333,Murshidabad ,7103807,2359061,4707573
C0101,334,Birbhum,3502404,2181515,1298054
C0101,335,Barddhaman ,7717563,6008472,1599764
C0101,336,Nadia ,5167600,3728482,1382682
C0101,337,North Twenty Four Parganas,10009781,7352769,2584684
C0101,338,Hugli ,5519145,4574569,870204
C0101,339,Bankura ,3596674,3033581,290450
C0101,340,Puruliya,2930115,2373120,227249
C0101,341,Haora ,4850029,3535844,1270641
C0101,342,Kolkata,4496694,3440290,926414
C0101,343,South Twenty Four Parganas,8161961,5155545,2903075
C0101,344,Paschim Medinipur,5913457,5056953,620554
C0101,345,Purba Medinipur,5095875,4343972,743436
