EC_CONSTITUENCY_2004,EC_CONSTITUENCY_2009
Bijnor,Bijnor
Amroha,Amroha
Moradabad,Moradabad
Rampur,Rampur
Sambhal,Sambhal
Aonla,Aonla
Bareilly,Bareilly
Pilibhit,Pilibhit
Shahjahanpur,Shahjahanpur
Kheri,Kheri
Sitapur,Sitapur
Misrikh,Misrikh
Hardoi,Hardoi
Lucknow,Lucknow
Mohanlalganj,Mohanlalganj
Unnao,Unnao
Rae Bareli,Rae bareli
Pratapgarh,Pratapgarh
Amethi,Amethi
Sultanpur,Sultanpur
Akbarpur,Akbarpur
Faizabad,Faizabad
Kaiserganj,Kaiserganj
Bahraich,Bahraich
Gonda,Gonda
Basti,Basti
Bansgaon,Bansgaon
Gorakhpur,Gorakhpur
Maharajganj,Maharajganj
Deoria,Deoria
Salempur,Salempur
Ballia,Ballia
Ghosi,Ghosi
Azamgarh,Azamgarh
Lalganj,Lalganj
Machhlishahr,Machhlishahr
Jaunpur,Jaunpur
Ghazipur,Ghazipur
Chandauli,Chandauli
Varanasi,Varanasi
Robertsganj,Robertsganj
Mirzapur,Mirzapur
Phulpur,Phulpur
Allahabad,Allahabad
Fatehpur,Fatehpur
Banda,Banda
Hamirpur,Hamirpur
Jhansi,Jhansi
Jalaun,Jalaun
Kanpur,Kanpur
Etawah,Etawah
Kannauj,Kannauj
Farrukhabad,Farrukhabad
Mainpuri,Mainpuri
Etah,Etah
Firozabad,Firozabad
Agra,Agra
Mathura,Mathura
Hathras,Hathras
Aligarh,Aligarh
Bulandshahr,Bulandshahr
Meerut,Meerut
Baghpat,Baghpat
Muzaffarnagar,Muzaffarnagar
Kairana,Kairana
Saharanpur,Saharanpur
Domariaganj,Domariyaganj
Bara Banki,Barabanki
Fatehpur,Fatehpur sikri
 ,Bhadohi
 ,Ghaziabad
 ,Badaun
 ,Nagina
,Dhaurahra
,Ambedkar Nagar
,Shrawasti
,Gautam buddh Nagar
,Sant kabir Nagar
,Kaushambi
,Kushi Nagar
